iso_label,iso_score,dbscan_label,dbscan_score,hybrid_score,hybrid_label
1,0.6077611613417524,0,0.9051599695907864,0.726720684641366,1
1,0.5867688533606266,0,0.9088947305336188,0.7156192042298235,1
1,0.5579398818800883,0,0.9041594013199536,0.6964276896560344,1
0,0.4960177364553051,0,0.9015824795347576,0.658243633687086,1
0,0.4974328655764922,0,0.8977211606355757,0.6575481836001256,1
0,0.4922531552970665,0,0.8945742618260679,0.653181597908667,1
0,0.4846644749530473,0,0.8859978772654701,0.6451978358780164,1
0,0.4865106365902877,0,0.8861417937149608,0.646363099440157,1
0,0.4855747655365827,0,0.8851009814684095,0.6453852519093135,1
0,0.4878946926066649,0,0.8863270136695243,0.6472676210318087,1
0,0.4915084555479043,0,0.8860164618117802,0.6493116580534546,1
0,0.487037195949632,0,0.887790982421776,0.6473387105384896,1
0,0.4855444482794868,0,0.886184505430478,0.6458004711398833,1
0,0.4864517664043992,0,0.8921933545567744,0.6487484016653493,1
1,0.519764504907041,0,0.8893007496996319,0.6675790028240773,1
1,0.524308319583525,0,0.890011518756233,0.6705895992526081,1
0,0.4823164344897086,0,0.8859339777073544,0.643763451776767,1
0,0.4761169932452758,0,0.8894639011730108,0.6414557564163699,1
0,0.4807229580229999,0,0.8934592049930765,0.6458174568110306,1
1,0.5056318892299145,0,0.904331684421174,0.6651118073064184,1
1,0.5096542418493327,0,0.9084147081446564,0.6691584283674622,1
1,0.5072775065627448,0,0.9089156212106104,0.6679327524218911,1
1,0.5026755114313977,0,0.9047654748043796,0.6635114967805904,1
0,0.4871753339853019,0,0.8931182372565696,0.649552495293809,1
0,0.4762669545473517,0,0.8825686648007731,0.6387876386487202,1
0,0.4858290971716194,0,0.8898116006301279,0.6474220985550228,1
0,0.4789413665808587,0,0.8907930426698122,0.6436820370164401,1
1,0.5071270192697173,0,0.8965925535704903,0.6629132329900265,1
1,0.5523772529684282,0,0.8991352849651645,0.6910804657671228,1
1,0.5636592614912195,0,0.9033459186007816,0.6995339243350444,1
1,0.5586122590057321,0,0.8965268522299716,0.6937780962954279,1
1,0.5600323994516081,0,0.8993304202455583,0.6957516077691882,1
1,0.5603392626014922,0,0.902812671493411,0.6973286261582597,1
1,0.569638903870402,0,0.9064567861765568,0.7043660567928639,1
1,0.5165478790507252,0,0.9087597389246044,0.6734326230002768,1
1,0.5158671892221458,0,0.9095397326723192,0.6733362066022152,1
