Temperature,Humidity,Light,Loudness
0.3141944499900179,0.38643194504079004,0.3840000000000007,0.19443254817987157
0.31331603114394085,0.38643194504079004,0.3920000000000005,0.20856531049250543
0.31231782790976237,0.38714755975382853,0.3920000000000005,0.2295503211991435
0.3116789778398881,0.38749105481608703,0.3920000000000005,0.25396145610278376
0.3115591934517867,0.38749105481608703,0.3880000000000006,0.2573875802997859
0.31227789978039516,0.38749105481608703,0.38400000000000034,0.25867237687366174
0.31387502495508074,0.38677544010304854,0.3720000000000002,0.2633832976445397
0.31575164703533626,0.38514383855732076,0.368,0.2625267665952892
0.3168696346576162,0.3840847287820238,0.3639999999999997,0.25396145610278376
0.3169894190457176,0.38336911406898533,0.3639999999999997,0.24925053533190583
0.31627071271710905,0.38336911406898533,0.3639999999999997,0.2445396145610279
0.31555200638850056,0.384256476313153,0.368,0.24282655246252682
0.31503294070672777,0.3851724631458423,0.368,0.24239828693790155
0.3149131563186264,0.3857163303277516,0.37600000000000017,0.24496788008565318
0.3149131563186264,0.3858880778588808,0.3719999999999999,0.23383297644539622
0.3151527250948292,0.38568770573923006,0.3719999999999999,0.2312633832976446
0.3151527250948292,0.3853442106769716,0.3679999999999996,0.24411134903640264
0.3149131563186264,0.38497209102619157,0.3719999999999999,0.24925053533190583
0.3145538031543221,0.3844282238442823,0.3759999999999998,0.24882226980728056
0.31431423437811923,0.3840847287820238,0.3879999999999999,0.26766595289079237
0.3140746656019163,0.3837412337197654,0.3920000000000002,0.271948608137045
0.313675384308245,0.38299699441820534,0.3920000000000002,0.2625267665952891
0.31303653423837074,0.38299699441820534,0.3879999999999999,0.2612419700214133
0.3127969654621679,0.38354086160011464,0.3759999999999998,0.26680942184154177
0.31315631862647214,0.3838843566623731,0.3639999999999997,0.2531049250535332
0.31375524056697923,0.3838843566623731,0.37199999999999955,0.2633832976445396
0.31463365941305627,0.38371260913124383,0.37199999999999955,0.25396145610278376
0.31527250948293045,0.38299699441820534,0.3759999999999998,0.23811563169164884
0.3156318626472347,0.3822527551166453,0.3759999999999998,0.22569593147751607
0.31527250948293045,0.381708887934736,0.38000000000000006,0.223982869379015
0.31467358754242336,0.381708887934736,0.3720000000000002,0.21927194860813706
0.31467358754242336,0.38208100758551605,0.3760000000000005,0.22055674518201288
